Method of Travel,Mar 2019,Mar 2020,Mar % change,Jan~Mar 2019, Jan~Mar 2020, Jan~Mar % change
Trips by non-residents,1803565,760461,-57.8,4790259,3923485,-18.1
United States Residents,1457330,611056,-58.1,3755854,3094046,-17.6
Automobile,1020931,447063,-56.2,2633444,2246551,-14.7
Same Day,580484,271629,-53.2,1536729,1319504,-14.1
One or more nights,440447,175434,-60.2,1096715,927047,-15.5
Plane,366667,138767,-62.2,946789,716349,-24.3
Bus,45108,14223,-68.5,123911,89219,-28.0
"Train, boat and other methods",24624,11003,-55.3,51710,41927,-18.9
All other countries residents,346235,149405,-56.8,1034405,829439,-19.8
Direct,240617,103816,-56.9,729635,597188,-18.2
Via the United States',105618,45589,-56.8,304770,232251,-23.8
Trips by residents of Canada',5450366,3257234,-40.2,13808443,11977840,-13.3
Returning from the United States,4004204,2238425,-44.1,9876481,8381291,-15.1
Automobile,2784103,1499820,-46.1,6716610,5645453,-15.9
Same day,1812672,804569,-55.6,4608445,3752719,-18.6
One or more nights,971431,695251,-28.4,2108165,1892734,-10.2
Plane,1138388,698820,-38.6,2948781,2564308,-13.0
Bus,59791,27255,-54.4,160937,131881,-18.1
"Train, boat and other methods",21922,12530,-42.8,50153,39649,-20.9
Returning from other countries,1446162,1018809,-29.6,3931962,3596549,-8.5
Direct,1338359,935750,-30.1,3640074,3343647,-8.1
Via the United States,107803,83059,-23.0,291888,252902,-13.4
Total3,7253931,4017695,-44.6,18598702,15901325,-14.5
