Method of Travel,Jul 2019,Jul 2020,Jul % change,Jan~Jul 2019, Jan~Jul 2020, Jan~Jul % change
Trips by non-residents,4713420,141772,-97.0,18271577,4340588,-76.2
United States Residents,3615631,113414,-96.9,14094089,3431912,-75.6
Automobile,2398407,100351,-95.8,9415440,2551697,-72.9
Same Day,979267,69390,-92.9,4664508,1546921,-66.8
One or more nights,1419140,30961,-97.8,4750932,1004776,-78.9
Plane,735103,11028,-98.5,3240820,741816,-77.1
Bus,127855,636,-99.5,501130,90601,-81.9
"Train, boat and other methods",354266,1399,-99.6,936699,47798,-94.9
All other countries residents,1097789,28358,-97.4,4177488,908676,-78.2
Direct,705115,21800,-96.9,2755042,651397,-76.4
Via the United States2,392674,6558,-98.3,1422446,257279,-81.9
Trips by residents of Canada,5179202,287015,-94.5,32957548,12889252,-60.9
Returning from the United States,4310150,233672,-94.6,25237769,9145984,-63.8
Automobile,3485774,205358,-94.1,18440492,6338185,-65.6
Same day,2097930,176347,-91.6,12287048,4336813,-64.7
One or more nights,1387844,29011,-97.9,6153444,2001372,-67.5
Plane,662300,26156,-96.1,6041293,2627480,-56.5
Bus,75829,259,-99.7,464634,132035,-71.6
"Train, boat and other methods",86247,1899,-97.8,291350,48284,-83.4
Returning from other countries,869052,53343,-93.9,7719779,3743268,-51.5
Direct,824075,50081,-93.9,7181759,3479240,-51.6
Via the United States,44977,3262,-92.7,538020,264028,-50.9
Total,9892622,428787,-95.7,51229125,17229840,-66.4
