Method of Travel,Aug 2019,Aug 2020,Aug % change,Jan~Aug 2019, Jan~Aug 2020, Jan~Aug % change
Trips by non-residents,4612427,158664,-96.6,22884004,4499252,-80.3
United States Residents,3552265,120824,-96.6,17646354,3552736,-79.9
Automobile,2425518,104725,-95.7,11840958,2656422,-77.6
Same Day,976838,72164,-92.6,5641346,1619085,-71.3
One or more nights,1448680,32561,-97.8,6199612,1037337,-83.3
Plane,666738,14009,-97.9,3907558,755825,-80.7
Bus,123154,850,-99.3,624284,91451,-85.4
"Train, boat and other methods",336855,1240,-99.6,1273554,49038,-96.1
All other countries residents,1060162,37840,-96.4,5237650,946516,-81.9
Direct,643668,30589,-95.2,3398710,681986,-79.9
Via the United States2,416494,7251,-98.3,1838940,264530,-85.6
Trips by residents of Canada,5885884,344846,-94.1,38843432,13234098,-65.9
Returning from the United States,4766463,254258,-94.7,30004232,9400242,-68.7
Automobile,3846307,214939,-94.4,22286799,6553124,-70.6
Same day,2190481,182150,-91.7,14477529,4518963,-68.8
One or more nights,1655826,32789,-98.0,7809270,2034161,-74.0
Plane,739182,36544,-95.1,6780475,2664024,-60.7
Bus,84655,360,-99.6,549289,132395,-75.9
"Train, boat and other methods",96319,2415,-97.5,387669,50699,-86.9
Returning from other countries,1119421,90588,-91.9,8839200,3833856,-56.6
Direct,1044081,87117,-91.7,8225840,3566357,-56.6
Via the United States,75340,3471,-95.4,613360,267499,-56.4
Total,10498311,503510,-95.2,61727436,17733350,-71.3
