Method of Travel,Sept 2019,Sept 2020,Sept % change,Jan~Sept 2019, Jan~Sept 2020, Jan~Sept % change
Trips by non-residents,3144439,147777,-95.3,26028443,4647029,-82.1
United States Residents,2295325,112980,-95.1,19941679,3665716,-81.6
Automobile,1406559,99024,-93.0,13247517,2755446,-79.2
Same Day,730144,72794,-90.0,6371490,1691879,-73.4
One or more nights,676415,26230,-96.1,6876027,1063567,-84.5
Plane,534797,12296,-97.7,4442355,768121,-82.7
Bus,83126,794,-99.0,707410,92245,-87.0
"Train, boat and other methods",270843,866,-99.7,1544397,49904,-96.8
All other countries residents,849114,34797,-95.9,6086764,981313,-83.9
Direct,538902,28387,-94.7,3937612,710373,-82.0
Via the United States4,310212,6410,-97.9,2149152,270940,-87.4
Trips by residents of Canada3,4512688,324815,-92.8,43356120,13558913,-68.7
Returning from the United States,3634855,250399,-93.1,33639087,9650641,-71.3
Automobile,2772407,215963,-92.2,25059206,6769087,-73.0
Same day,1804922,190374,-89.5,16282451,4709337,-71.1
One or more nights,967485,25589,-97.4,8776755,2059750,-76.5
Plane,707125,32322,-95.4,7487600,2696346,-64.0
Bus,74017,238,-99.7,623306,132633,-78.7
"Train, boat and other methods",81306,1876,-97.7,468975,52575,-88.8
Returning from other countries,877833,74416,-91.5,9717033,3908272,-59.8
Direct,821701,72132,-91.2,9047541,3638489,-59.8
Via the United States,56132,2284,-95.9,669492,269783,-59.7
Total3,7657127,472592,-93.8,69384563,18205942,-73.8
