Method of Travel,Oct 2019,Oct 2020,Oct % change,Jan~Oct 2019, Jan~Oct 2020, Jan~Oct % change
Trips by non-residents,2422569,139916,-94.2,28451012,4786945,-83.2
United States Residents,1854059,112513,-93.9,21795738,3778229,-82.7
Automobile,1230244,98267,-92.0,14477761,2853713,-80.3
Same Day,668570,72862,-89.1,7040060,1764741,-74.9
One or more nights,561674,25405,-95.5,7437701,1088972,-85.4
Plane,442252,12928,-97.1,4884607,781049,-84.0
Bus,59635,535,-99.1,767045,92780,-87.9
"Train, boat and other methods",121928,783,-99.4,1666325,50687,-97.0
All other countries residents,568510,27403,-95.2,6655274,1008716,-84.8
Direct,369145,21146,-94.3,4306757,731519,-83.0
Via the United States2,199365,6257,-96.9,2348517,277197,-88.2
Trips by residents of Canada,4294765,341256,-92.1,47650885,13900169,-70.8
Returning from the United States,3504393,268993,-92.3,37143480,9919634,-73.3
Automobile,2574795,224979,-91.3,27634001,6994066,-74.7
Same day,1788430,196937,-89.0,18070881,4906274,-72.8
One or more nights,786365,28042,-96.4,9563120,2087792,-78.2
Plane,815519,42222,-94.8,8303119,2738568,-67.0
Bus,80067,349,-99.6,703373,132982,-81.1
"Train, boat and other methods",34012,1443,-95.8,502987,54018,-89.3
Returning from other countries,790372,72263,-90.9,10507405,3980535,-62.1
Direct,745699,68899,-90.8,9793240,3707388,-62.1
Via the United States,44673,3364,-92.5,714165,273147,-61.8
Total,6717334,481172,-92.8,76101897,18687114,-75.4
