Method of Travel,Nov 2019,Nov 2020,Nov % change,Jan~Nov 2019, Jan~Nov 2020, Jan~Nov % change
Trips by non-residents,1786974,127159,-92.9,30237986,4914104,-83.7
United States Residents,1464188,98444,-93.3,23259926,3876673,-83.3
Automobile,1055140,83301,-92.1,15532901,2937014,-81.1
Same Day,604994,61695,-89.8,7645054,1826436,-76.1
One or more nights,450146,21606,-95.2,7887847,1110578,-85.9
Plane,340349,14112,-95.9,5224956,795161,-84.8
Bus,45135,398,-99.1,812180,93178,-88.5
"Train, boat and other methods",23564,633,-97.3,1689889,51320,-97.0
All other countries residents,322786,28715,-91.1,6978060,1037431,-85.1
Direct,215005,22793,-89.4,4521762,754312,-83.3
Via the United States2,107781,5922,-94.5,2456298,283119,-88.5
Trips by residents of Canada,4129734,325853,-92.1,51780619,14226022,-72.5
Returning from the United States,3286910,252607,-92.3,40430390,10172241,-74.8
Automobile,2315884,196626,-91.5,29949885,7190692,-76.0
Same day,1658140,169586,-89.8,19729021,5075860,-74.3
One or more nights,657744,27040,-95.9,10220864,2114832,-79.3
Plane,882499,54473,-93.8,9185618,2793041,-69.6
Bus,70243,183,-99.7,773616,133165,-82.8
"Train, boat and other methods",18284,1325,-92.8,521271,55343,-89.4
Returning from other countries,842824,73246,-91.3,11350229,4053781,-64.3
Direct,789229,70180,-91.1,10582469,3777568,-64.3
Via the United States,53595,3066,-94.3,767760,276213,-64.0
Total,5916708,453012,-92.3,82018605,19140126,-76.7
