Method of Travel,Dec 2019,Dec 2020,Dec % change,Jan~Dec 2019, Jan~Dec 2020, Jan~Dec % change
Trips by non-residents,2191785,154246,-93.0,32429771,5068350,-84.4
United States Residents,1697726,113887,-93.3,24957652,3990560,-84.0
Automobile,1215682,92245,-92.4,16748583,3029259,-81.9
Same Day,643004,63352,-90.1,8288058,1889788,-77.2
One or more nights,572678,28893,-95.0,8460525,1139471,-86.5
Plane,412596,20743,-95.0,5637552,815904,-85.5
Bus,41530,315,-99.2,853710,93493,-89.0
"Train, boat and other methods",27918,584,-97.9,1717807,51904,-97.0
All other countries residents,494059,40359,-91.8,7472119,1077790,-85.6
Direct,357992,33855,-90.5,4879754,788167,-83.8
Via the United States2,136067,6504,-95.2,2592365,289623,-88.8
Trips by residents of Canada,4376787,379325,-91.3,56157406,14605347,-74.0
Returning from the United States,3383473,271069,-92.0,43813863,10443310,-76.2
Automobile,2442218,207064,-91.5,32392103,7397756,-77.2
Same day,1732203,177221,-89.8,21461224,5253081,-75.5
One or more nights,710015,29843,-95.8,10930879,2144675,-80.4
Plane,853109,62463,-92.7,10038727,2855504,-71.6
Bus,70217,353,-99.5,843833,133518,-84.2
"Train, boat and other methods",17929,1189,-93.4,539200,56532,-89.5
Returning from other countries,993314,108256,-89.1,12343543,4162037,-66.3
Direct,937676,102901,-89.0,11520145,3880469,-66.3
Via the United States,55638,5355,-90.4,823398,281568,-65.8
Total,6568572,533571,-91.9,88587177,19673697,-77.8
