Method of Travel,Feb 2020,Feb 2021,Feb % change,Jan~Feb 2020, Jan~Feb 2021, Jan~Feb % change
Trips by non-residents,1595707,101655,-93.6,3163024,222576,-93.0
United States Residents,1281300,75398,-94.1,2482990,161854,-93.5
Automobile,932270,68340,-92.7,1799488,142230,-92.1
Same Day,525123,54403,-89.6,1047875,111802,-89.3
One or more nights,407147,13937,-96.6,751613,30428,-96.0
Plane,294559,6091,-97.9,577582,17578,-97.0
Bus,37815,428,-98.9,74996,888,-98.8
"Train, boat and other methods",16656,539,-96.8,30924,1158,-96.3
All other countries residents,314407,26257,-91.6,680034,60722,-91.1
Direct,231874,21028,-90.9,493372,50198,-89.8
Via the United States2,82533,5229,-93.7,186662,10524,-94.4
Trips by residents of Canada,4289711,295857,-93.1,8720606,721378,-91.7
Returning from the United States,3073031,216261,-93.0,6142866,481260,-92.2
Automobile,2079991,182809,-91.2,4145633,373661,-91.0
Same day,1504735,158894,-89.4,2948150,321515,-89.1
One or more nights,575256,23915,-95.8,1197483,52146,-95.6
Plane,928622,32198,-96.5,1865488,104847,-94.4
Bus,51138,291,-99.4,104626,448,-99.6
"Train, boat and other methods",13280,963,-92.7,27119,2304,-91.5
Returning from other countries,1216680,79596,-93.5,2577740,240118,-90.7
Direct,1136655,72026,-93.7,2407897,224119,-90.7
Via the United States,80025,7570,-90.5,169843,15999,-90.6
Total,5885418,397512,-93.2,11883630,943954,-92.1
